,Company Name,Symbol,Market,Price,Shares,Offer Amount,Date Priced,URL
0,DFC GLOBAL CORP.,DLLR,NASDAQ,$16,"7,500,000","$120,000,000",1/28/2005,http://www.nasdaq.com/markets/ipos/company/dfc-global-corp-607949-38310
1,NATIONAL INTERSTATE CORP,NATL,NASDAQ,$13.50,"3,847,000","$51,934,500",1/28/2005,http://www.nasdaq.com/markets/ipos/company/national-interstate-corp-650441-41409
2,W&T OFFSHORE INC,WTI,New York Stock Exchange,$19,"12,655,263","$240,449,997",1/28/2005,http://www.nasdaq.com/markets/ipos/company/wt-offshore-inc-633657-39282
3,"OPTIONSXPRESS HOLDINGS, INC.",OXPS,NASDAQ,$16.50,"12,000,000","$198,000,000",1/27/2005,http://www.nasdaq.com/markets/ipos/company/optionsxpress-holdings-inc-653315-41799
4,"EDUCATION REALTY TRUST, INC.",EDR,New York Stock Exchange,$16,"19,000,000","$304,000,000",1/26/2005,http://www.nasdaq.com/markets/ipos/company/education-realty-trust-inc-650438-41405
5,GFI GROUP INC.,GFIG,NASDAQ,$21,"5,857,224","$123,001,704",1/26/2005,http://www.nasdaq.com/markets/ipos/company/gfi-group-inc-639429-40004
6,CELANESE CORP,CE,New York Stock Exchange,$16,"50,000,000","$800,000,000",1/21/2005,http://www.nasdaq.com/markets/ipos/company/celanese-corp-654118-41922
7,"SEABRIGHT HOLDINGS, INC.",SEAB,NASDAQ,$10.50,"7,500,000","$78,750,000",1/21/2005,http://www.nasdaq.com/markets/ipos/company/seabright-holdings-inc-600311-41325
8,VIACELL INC,VIAC,NASDAQ,$7,"7,500,000","$52,500,000",1/21/2005,http://www.nasdaq.com/markets/ipos/company/viacell-inc-96019-38760
9,"CECORS, INC.",FDRA,OTCBB,$0.05,"2,000,000","$100,000",1/19/2005,http://www.nasdaq.com/markets/ipos/company/cecors-inc-353793-41152
10,COUSINS PROPERTIES INC,CUZ.B,New York Stock Exchange,$25,"4,000,000","$100,000,000",1/3/2005,http://www.nasdaq.com/markets/ipos/company/cousins-properties-inc-10717-42116
11,"AVANTAIR, INC",AACQU,OTCBB,$6,"6,000,000","$36,000,000",2/25/2005,http://www.nasdaq.com/markets/ipos/company/avantair-inc-657043-42358
12,KEARNY FINANCIAL CORP.,KRNY,NASDAQ,$10,"21,821,250","$218,212,500",2/24/2005,http://www.nasdaq.com/markets/ipos/company/kearny-financial-corp-648587-41160
13,ALDABRA ACQUISITION CORP,ALBAU,OTCBB,$6,"8,000,000","$48,000,000",2/18/2005,http://www.nasdaq.com/markets/ipos/company/aldabra-acquisition-corp-659079-42675
14,"DOLBY LABORATORIES, INC.",DLB,New York Stock Exchange,$18,"27,500,000","$495,000,000",2/17/2005,http://www.nasdaq.com/markets/ipos/company/dolby-laboratories-inc-655607-42121
15,COASTAL BANCSHARES ACQUISITION CORP.,CBASU,OTCBB,$6,"4,800,000","$28,800,000",2/16/2005,http://www.nasdaq.com/markets/ipos/company/coastal-bancshares-acquisition-corp-646708-40908
16,WEX INC.,WXS,New York Stock Exchange,$18,"40,000,000","$720,000,000",2/16/2005,http://www.nasdaq.com/markets/ipos/company/wex-inc-655912-42168
17,ODIMO INC,ODMO,NASDAQ,$9,"3,125,000","$28,125,000",2/15/2005,http://www.nasdaq.com/markets/ipos/company/odimo-inc-643189-40455
18,"MANITEX INTERNATIONAL, INC.",VCC,American Stock Exchange,$6,"2,500,000","$15,000,000",2/15/2005,http://www.nasdaq.com/markets/ipos/company/manitex-international-inc-648623-41167
19,FUSION TELECOMMUNICATIONS INTERNATIONAL INC,FSN,American Stock Exchange,$6.45,"3,600,000","$23,220,000",2/15/2005,http://www.nasdaq.com/markets/ipos/company/fusion-telecommunications-international-inc-157015-42026
20,ECC CAPITAL CORP,ECR,New York Stock Exchange,$6.75,"57,189,693","$386,030,428",2/15/2005,http://www.nasdaq.com/markets/ipos/company/ecc-capital-corp-646597-40888
21,"ALPHA NATURAL RESOURCES, INC./OLD",ANR,New York Stock Exchange,$19,"29,500,000","$560,500,000",2/15/2005,http://www.nasdaq.com/markets/ipos/company/alpha-natural-resources-incold-656997-42350
22,"VIVID LEARNING SYSTEMS, INC.",VVDL,OTCBB,$0.25,"1,997,996","$499,499",2/14/2005,http://www.nasdaq.com/markets/ipos/company/vivid-learning-systems-inc-637751-39883
23,"UNIVERSAL TRUCKLOAD SERVICES, INC.",UACL,NASDAQ,$20,"5,300,000","$106,000,000",2/11/2005,http://www.nasdaq.com/markets/ipos/company/universal-truckload-services-inc-655179-42072
24,HUNTSMAN CORP,HUN,New York Stock Exchange,$23,"60,227,274","$1,385,227,302",2/11/2005,http://www.nasdaq.com/markets/ipos/company/huntsman-corp-656099-42219
25,"HILAND PARTNERS HOLDINGS, LLC",HLND,NASDAQ,$22.50,"2,000,000","$45,000,000",2/10/2005,http://www.nasdaq.com/markets/ipos/company/hiland-partners-holdings-llc-653101-41757
26,"PRESTIGE BRANDS HOLDINGS, INC.",PBH,New York Stock Exchange,$16,"28,000,000","$448,000,000",2/10/2005,http://www.nasdaq.com/markets/ipos/company/prestige-brands-holdings-inc-644540-42022
27,SYNIVERSE HOLDINGS INC,SVR,New York Stock Exchange,$16,"17,620,000","$281,920,000",2/10/2005,http://www.nasdaq.com/markets/ipos/company/syniverse-holdings-inc-101639-42045
28,"WINDSTREAM HOLDINGS, INC.",VCG,New York Stock Exchange,$15,"29,375,000","$440,625,000",2/9/2005,http://www.nasdaq.com/markets/ipos/company/windstream-holdings-inc-630551-39765
29,TRI-S SECURITY CORP,TRISU,NASDAQ,$6,"1,800,000","$10,800,000",2/9/2005,http://www.nasdaq.com/markets/ipos/company/tris-security-corp-652190-41667
30,"FTD GROUP, INC.",FTD,New York Stock Exchange,$13,"15,407,693","$200,300,009",2/9/2005,http://www.nasdaq.com/markets/ipos/company/ftd-group-inc-626327-42201
31,EMAGEON INC,EMAG,NASDAQ,$13,"5,000,000","$65,000,000",2/9/2005,http://www.nasdaq.com/markets/ipos/company/emageon-inc-144709-42124
32,"GRAVITY CO., LTD.",GRVY,NASDAQ,$13.50,"8,000,000","$108,000,000",2/8/2005,http://www.nasdaq.com/markets/ipos/company/gravity-co-ltd-661340-42995
33,THRESHOLD PHARMACEUTICALS INC,THLD,NASDAQ,$7,"5,333,333","$37,333,331",2/4/2005,http://www.nasdaq.com/markets/ipos/company/threshold-pharmaceuticals-inc-377981-38866
34,"ARC DOCUMENT SOLUTIONS, INC.",ARP,New York Stock Exchange,$13,"13,350,000","$173,550,000",2/4/2005,http://www.nasdaq.com/markets/ipos/company/arc-document-solutions-inc-652448-41703
