,IoT_15day_CASI_weighted_finance,IoT_30day_CASI_weighted_finance,IoT_15day_CASI_all,IoT_30day_CASI_all,IoT_15day_CASI_news,IoT_30day_CASI_news,IoT_15day_CASI_weighted_finance,IoT_30day_CASI_weighted_finance,CASIxP,CASIxFRP,priceupdate_up,pct_final_revision_up,number_of_price_updates_up,number_of_price_updates_down,EPS,VC,underwriter_rank_avg,share_overhang,log(proceeds),log(1+sales),log(days_from_s1_to_listing),confidential_IPO,media_listing,M3_indust_rets,M3_initial_returns
IoT_15day_CASI_weighted_finance,1.0,0.6558448268719552,0.7546989160235429,0.44580485423266136,0.8315306204756794,0.5057594896985941,1.0,0.6558448268719552,0.14587531800795162,0.27057484573935736,0.1108609083130873,0.2145272539676557,0.22672859568362838,-0.12358026890200405,0.07645629350760291,0.10472940089697357,0.153323509626807,0.08478957790952418,0.24985028693976344,0.16536899279851588,0.00942448318180477,-0.009071958438287401,0.12663249424874976,0.03203176073380119,-0.007275406742668375
IoT_30day_CASI_weighted_finance,0.6558448268719552,1.0,0.5363645311455307,0.7267617654290706,0.5358240919638437,0.8430228119662174,0.6558448268719552,1.0,0.04093481482152532,0.09892990153606879,0.041801461489386196,0.10302596552230665,0.1318377764007729,-0.060460496154288564,0.05141123373369449,0.09875533606512675,0.10247305714745723,0.032049745172212867,0.172578860898345,0.08800276584655475,-0.00585876364235777,-0.04121244190660101,0.06657203329451242,0.03883480860876241,-0.020343763278136272
IoT_15day_CASI_all,0.7546989160235429,0.5363645311455307,1.0,0.6301460709099915,0.5993768067275055,0.4008939194665408,0.7546989160235429,0.5363645311455307,0.07201104842423695,0.12012024128307086,0.07608636351320018,0.1509677721083301,0.1402385335354446,-0.08014647294835434,0.047938695622062245,0.08309009621349879,0.1372988428740954,0.031124571175025418,0.18303520995597342,0.14289901078324765,0.005846002103394388,-0.0070114266138059005,0.04013002823653345,0.03750671369642344,0.008589708898409177
IoT_30day_CASI_all,0.44580485423266136,0.7267617654290706,0.6301460709099915,1.0,0.3731235538064026,0.5847106775757799,0.44580485423266136,0.7267617654290706,-0.005647612590579468,0.0039952678338118315,0.019438380922097754,0.05216055211523499,0.06075893954384915,-0.0224168099636641,0.02351208985427123,0.061099820305768104,0.047028583922958014,-0.007540726060907167,0.09968638128333862,0.0533594166251848,-0.01818935521288442,-0.02557216464780561,0.005758889814790917,0.01766265805097019,0.016394858495762256
IoT_15day_CASI_news,0.8315306204756794,0.5358240919638437,0.5993768067275055,0.3731235538064026,1.0,0.6087521906094016,0.8315306204756794,0.5358240919638437,0.07904955462696334,0.1642760902230404,0.06724472148173889,0.1320007095493963,0.15485076269630133,-0.07969042221676556,0.08849676767834316,0.03094489843840175,0.0686664880511339,0.03564517252311142,0.15655229160293715,0.11006055160139472,0.028874805711565223,-0.01465436064201251,0.06844810002308019,0.02666087964652346,0.0007276821155989858
IoT_30day_CASI_news,0.5057594896985941,0.8430228119662174,0.4008939194665408,0.5847106775757799,0.6087521906094016,1.0,0.5057594896985941,0.8430228119662174,0.01050426826152406,0.04206373882960078,0.009975954909215138,0.045186500905926075,0.07985717588043498,-0.016956937905572816,0.04792520468217766,0.05119429665826227,0.03704271412807718,-0.004681968220162936,0.0812783721367828,0.05386207095771955,-0.002447942465376816,-0.03510387446921952,0.022464940160505518,0.04534337314415232,-0.008514081515978647
IoT_15day_CASI_weighted_finance,1.0,0.6558448268719552,0.7546989160235429,0.44580485423266136,0.8315306204756794,0.5057594896985941,1.0,0.6558448268719552,0.14587531800795162,0.27057484573935736,0.1108609083130873,0.2145272539676557,0.22672859568362838,-0.12358026890200405,0.07645629350760291,0.10472940089697357,0.153323509626807,0.08478957790952418,0.24985028693976344,0.16536899279851588,0.00942448318180477,-0.009071958438287401,0.12663249424874976,0.03203176073380119,-0.007275406742668375
IoT_30day_CASI_weighted_finance,0.6558448268719552,1.0,0.5363645311455307,0.7267617654290706,0.5358240919638437,0.8430228119662174,0.6558448268719552,1.0,0.04093481482152532,0.09892990153606879,0.041801461489386196,0.10302596552230665,0.1318377764007729,-0.060460496154288564,0.05141123373369449,0.09875533606512675,0.10247305714745723,0.032049745172212867,0.172578860898345,0.08800276584655475,-0.00585876364235777,-0.04121244190660101,0.06657203329451242,0.03883480860876241,-0.020343763278136272
CASIxP,0.14587531800795162,0.04093481482152532,0.07201104842423695,-0.005647612590579468,0.07904955462696334,0.01050426826152406,0.14587531800795162,0.04093481482152532,1.0,0.762518742170357,0.07924559884783954,0.25392625646069783,0.17494913289068023,-0.09514142644566849,-0.04668219564699402,0.06587343016593689,0.05722359020158262,0.06724260916014019,0.05632465994149583,0.01743965761281556,-0.07496085271343131,-0.019218298052060108,0.06161633505493821,0.009511947520233249,0.0512469607115976
CASIxFRP,0.27057484573935736,0.09892990153606879,0.12012024128307086,0.0039952678338118315,0.1642760902230404,0.04206373882960078,0.27057484573935736,0.09892990153606879,0.762518742170357,1.0,0.1816353592793199,0.37179356933128277,0.21740110402749793,-0.08494626678500704,-0.05620926980118253,0.07511374101516428,0.06009375062657899,0.08366519472947562,0.027485715938367464,0.04596325992492069,-0.04454601831170471,0.00946445197348732,0.08522643795488587,0.04166345433046701,0.04323582168526366
